TS_S_B2,B2
TS_S_BC,BC
TS_S_CA,CA
TS_S_CT,CT
TS_S_DM,DM
TS_S_ES,ES
TS_S_FG,FG
TS_S_FI,FI
TS_S_FS,FS
TS_S_HC,HC
TS_S_HY,HY
TS_S_KM,KM
TS_S_LN,LN
TS_S_MM,MM
TS_S_PA,PA
TS_S_PL,PL
TS_S_PM,PM
TS_S_PP,PP
TS_S_PY,PY
TS_S_SD,SD
TS_S_SP,SP
TS_S_SV,SV
TS_S_SZ,SZ
TS_S_TR,TR
TS_S_UT,UT
TS_S_XM,XM
WPB,P1
